"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 02:35:01 GMT 2024","Sun Sep 01 02:35:02 GMT 2024","1386","","Testes da rota POST /produtos","","Services.CadastroProdutos.tests.CadastroProdutosTest","validarJsonSchemaCadastroProduto","Validar schema json response cadastro de produtos",""
"passed","Sun Sep 01 02:35:03 GMT 2024","Sun Sep 01 02:35:03 GMT 2024","112","","Testes da rota POST /usuarios","","Services.CadastroUsuarios.tests.CadastroUsuarioTest","validarStatusCodeCadastroUsuarios","Validar status code 201",""
"passed","Sun Sep 01 02:35:02 GMT 2024","Sun Sep 01 02:35:02 GMT 2024","131","","Testes da rota POST /produtos","","Services.CadastroProdutos.tests.CadastroProdutosTest","validarStatusCodeCadastroProduto","Validar status code 201",""
"passed","Sun Sep 01 02:35:02 GMT 2024","Sun Sep 01 02:35:02 GMT 2024","155","","Testes da rota POST /produtos","","Services.CadastroProdutos.tests.CadastroProdutosTest","validarCadastroProduto","Validar cadastro com sucesso",""
